,model,comment,sentiment,sex
116,Mi Note,redmi Note 10 6/128 lagbe,,
117,Mi Note,Amr kas thaka 10tk base nesa redmi Note 10,,
118,PRO 6,Redmi Note 9 pro 6/128 Unofficial price koto.,,
119,POCO F3,Poco F3 কবে পাবো?.,,
120,Redmi 9,Redmi 9 cn mane ki,,
121,2 Pro,Iphone 12 pro max 128gb bd Official phone ase? Daam koto?,,
122,Droid,xiomi Android mini tv box price please,,
123,2 Pro,"Poco m2 pro available?  R price koto, unofficial?",,
124,3 Pro,Poco x3 pro 8/256 global price,,
125,10 Pro,redmi Note 10 Pro ki international naki Indian?,,
126,Redmi 1,Redmi 10x er price kombe kbe? kisudin agei na 14k silo.,,
127,10 Pro,redmi Note 10 pro indian na global?,,
128,Mi Note,redmi Note 10 international global ase ki???,,
129,Mi 1,readmi 10x price koto,,
130,3 Pro,Poxo X3 Pro er dam besi ken,,
131,10 5G,Oneplus N10 5G 6/128•••••••23500/-,,
132,PRO 6,Note 9 Pro 6GB 64GB price kmn..?,,
133,Mi Note,redmi Note 10 4/64 এটা কি ইন্ডিয়ান নাকি ইন্টারন্যাশনাল?,,
134,3 Pro,X3 pro price koto?,,
135,3 Pro,"poco x3 pro 8/128 , 26k kbe hbe?",,
136,PRO 6,redmi Note 10 pro 6/128 unofficial price kotho,,
137,Mi Note,redmi Note 10 er dam kombe kobe akhono price onk high indian sate compare korle. 4/64 15500tk 6/128 18k hobe kokhon?,,
138,10 Pro,redmi Note 10 pro max টা কি আছে না কি আনবেন?,,
139,ZenFone 8,Asus ZenFone 8 ki er price plz?,,
140,2 Pro,poco m2 pro available?,,
141,One X+,iphone xr available?,,
142,Mi Note,redmi Note 10 global price?,,
143,PRO 6,redmi Note 10 pro 6/128 which version?,,
144,PRO 6,"redmi Note 10 pro 6/128 22,500 ki indian???",,
145,2 Pro,vai poco m2 pro er sathe exchange kora jabe ki?,,
146,10 Pro,redmi Note 10 pro max er price koto 6/128,,
147,Mi Note,আমার ইমারজেন্সি redmi Note 10,,
148,Mi Note,redmi Note 10 6/128 color ki ki ache,,
149,Mi Note,redmi Note 10 ki official ?,,
150,10 Pro,redmi Note 10 pro nithe cai,,
151,10 Pro,redmi Note 10 pro optimisation issue ki thik hoise?,,
152,10 Pro,redmi Note 10 pro max?,,
153,Mi Note,redmi Note 10pro version kunta,,
154,10 Pro,redmi Note 10 pro max 6/128 price,,
155,PRO 6,redmi Note 10 pro 6/128 ki indian?,,
156,3 Pro,poco x3 pro available?,,
157,PRO 6,"redmi Note 10 pro 6, 128 nite cacchi,",,
158,3 Pro,Poco X3 pro unofficial ache Vai..??,,
159,10 Pro,Sir redmi Note 10 pro 4/64,,
160,Mi Note,Tik ace price. redmi Note 10s ki 18k majhe paoya jabe viya?,,
161,Note 8,realme note 8er price koto unofficial ta??,,
162,Mi Note,redmi Note 10(4/64 GB) price?,,
163,10 Pro,redmi Note 10 pro (international global)  available?,,
164,PRO 6,Pocp x3 pro 6/128 global version er dam koto?,,
165,Mi Note,redmi Note 10-4/64 Indian Price?,,
166,Redmi K40 Gaming,redmi k40 gaming  edition  asbe kobe,,
167,POCO F3,Poco f3pro dorkar  kobe pawa jabe??,,
168,3 Pro,Poco x3 pro int ase,,
169,Mi 1,mi 11 lite 4g er price 6/64,,
170,POCO M2,Poco m2pro ki r nai?,,
171,2 Pro,Poco m2 pro available or not?,,
172,10 Pro,redmi Note 10 pro bronze colour available ase.,,
173,10 Pro,redmi Note 10 pro max price,,
174,10 Pro,India redmi Note 10 pro er camera 64 naki 108 mp? Aktu clear bolben?,,
175,Mi 1,mi 11 lite 6/128 price,,
176,10 Pro,redmi Note 10 pro (international)  ase?,,
177,3 Pro,Poco x3 pro ki indian naki international ? R 8/128 ki available ?,,
178,Mi Note,redmi Note 10i available?,,
179,3 Pro,Poco x3 pro bronze colour ta ace?,,
180,Mi Note,redmi Note 10 এর গ্লাস পেপার ও কাবার পাওয়া যাবে?,,
181,PRO 6,redmi Note 10 pro 6/64 ache?  Thakle price??,,
182,PRO 6,10 pro 6/64 kokon pabo?,,
183,10 Pro,redmi Note 10 pro 20 jokon hoba tokon nibo.,,
184,10 Pro,Is the redmi Note 10 pro have that 108 mp rare camera?,,
185,3 Pro,Poco x3 pro phantom black ta hbe apndr kase? Shop e eshe nitam..,,
186,3 Pro,POCO X3 pro indian or global?,,
187,10 Pro,Radmi redmi Note 10 pro max available.....??,,
188,3 Pro,Poco X3 Pro Price 6 128,,
189,10 Pro,redmi Note 10 pro max price,,
190,PRO 6,redmi Note 10 pro 6/128 blue colour available???,,
191,10 Pro,redmi Note 10 pro international global ta lagbe,,
192,3 Pro,poco x3 pro indian global or international global?,,
193,3 Pro,"oidin apnader shop e gelam othocho x3 pro chilona, ajke 1 diner bebodhane kmne ashlo bujhlam na",,
194,PRO 6,redmi Note 10 pro 6/128 are price ki 20k te asba nah,,
195,3 Pro,X3 pro  ki ki colour available,,
196,Mi Note,redmi Note 10 4/46 international global price plz?,,
197,3 Pro,"Jai hok poco x3 pror dam 25000 raksen.dekhe valoi laglo, but bidhi bam amar kache ace 16k, ekhn 25k kmne kori",,
198,10 Pro,redmi Note 10 pro max kom chai aro,,
199,3 Pro,poco x3 pro er pic tule post koren,,
200,10 Pro,N10 pro max er golden colour ta ache ki,,
201,2 Pro,Poco m2 pro 4/64  ki available?  Hole price koto?,,
202,Note 9,note 9 pro 4 128 jomuna te prise koto,,
203,Mi Note,redmi Note 10 asee??,,
204,10 Pro,redmi Note 10 pro Max 6/128•••••26500/-(Global),,
205,Redmi 9,দুপুরে ফোন দিলাম Redmi 9A 4/64•••••9000/-  (Chinese) স্টক নাই। আবার এলো কোথা থেকে?,,
206,PRO 6,redmi Note 10 pro 6/128 official global version koto price??not pro max just redmi Note 10 pro,,
207,OnePlus 8,Vai oneplus 8 or 8t কি ৩৫ থেকে ৪০ এর ভিতরে পাওয়া যাবে??,,
208,Note 9,Redmi note 9 ki official phone?,,
209,Mi Note,"redmi Note 10 tolarbage dite parben?6/128,international global,gray color",,
210,3 Pro,poco x3 prooo neye nebo naki,,
211,10 Pro,Vai redmi Note 10 pro max name ar kono phone to Globale launched hoyni ta vai redmi Note 10 pro max (Global) aita koi pailen???,,
212,Realme X,Realme X2 global version ki available,,
213,10 Pro,redmi Note 10 pro max 23000 টাকা হবে?,,
214,Nord,oneplus nord n10 5g ki official?,,
215,10 Pro,redmi Note 10 pro max Indian or International,,
216,POCO F3,Poco f3 ta kobe anben??,,
217,10 Pro,redmi Note 10 pro max er golden colour ta ki ache,,
218,OnePlus 7,Oneplus 7t ki available??,,
219,7 Pro,Tecno spark 7 pro কত টাকা?,,
220,Mi 1,Mi 11 lite 31999 ei price ki official na unofficial??,,
221,10 Pro,redmi Note 10 pro max 8/128,,
222,10 Pro,ভাইয়া redmi Note 10 pro 8/128 অনলাইনে পাওয়া যাবে,,
223,10 Pro,redmi Note 10 pro 8/128 bronze colour ase.,,
224,Mi 1,redmi k40 is better thn mi 11 lite,,
225,Mi 1,Mi 11 lite 5G kobe ashbe,,
226,Note 9,xiaomi redmi note 9 pro max. 6/128.,,
227,Mi Note,redmi Note 10 int..17000 rakha jai??,,
228,Note 9,Note 9 pro ki international,,
229,Mi Note,redmi Note 10 6/128 koto??,,
230,POCO F3,Poco f3 official kobe asbe,,
231,3 Pro,Poco x3 pro global price?,,
232,POCO X3,Poco x3 unofficial price pls,,
233,10 Pro,redmi Note 10 pro global or indian?,,
234,Mi Note,redmi Note 10 ki official??,,
235,Aria,6/128 international  variant  hobe?,,
236,Mi Note,redmi Note 10 6/128 global version available?,,
237,Mi Note,redmi Note 10 international 6/128 Price?,,
238,Mi Note,redmi Note 10 6/128 ki global version,,
239,Redmi 9,Redmi 9 power ki official naki unofficial?,,
240,Mi Note,redmi Note 10 indian ta white ta ache??,,
241,Nord,oneplus nord hobe??,,
242,OnePlus 8,oneplus 8t (12/256) silver colour available?,,
243,POCO F3,Poco F3 Er Dam Koman Na Kn Bujhi Na,,
244,OnePlus 7,oneplus 7 pro intarnational hoba ki,,
245,POCO F3,Poco f3 er price koto?,,
246,Aria,Poco x2 hobe ki boss??... And dam koto 4/64 variant  and 4/128 variant,,
247,PRO 6,Poco x3 pro 6/128 official = 28 k...,,
248,10 Pro,redmi Note 10 pro available ?,,
249,Mi Note,redmi Note 10pro ki 108mp camerar,,
250,POCO M3,Vai poco m3 er price ta ektu bolben,,
251,Mi 1,Mi 11 lite yellow color asba ki??,,
252,Mi Note,redmi Note 10 ki official??,,
253,Mi 1,Mi 11 lite colour konta hobe??,,
254,10 Pro,redmi Note 10 pro indian?,,
255,10 Pro,Plz replay redmi Note 10 pro max price,,
256,Mi Note,redmi Note 10 6/128 int dam komer sombabona aca? 1mas er modda.?,,
257,10 Pro,redmi Note 10 pro max koto porbe,,
258,Aria,Is redmi Note 10 Gobal variant available,,
259,Mi Note,"ভাই, redmi Note 10 মোবাইলটির International global টা কি Chinese, এটাতে কি Google এর Application গুলি By default use করা  যাবে?",,
260,PRO 6,redmi Note 10 pro 6/128 unofficial price plz,,
261,10 Pro,redmi Note 10 Pro (6/128) - International Global  কতো?,,
262,10 Pro,Not 10 pro.....er price,,
263,Mi Note,redmi Note 10 6/128 current price?,,
264,Note 9,Note 9 pro ta hobe ki.?,,
265,Mi Note,Unofficially redmi Note 10 4/64 price ekhon koto,,
266,Mi Note,redmi Note 10-4/64 Indian price?,,
267,POCO F3,Poco F3 available??,,
268,POCO F3,Poco f3 black available?,,
269,Mi Note,redmi Note 10 4/ 128 price koto,,
270,10 Pro,redmi Note 10 pro max location patiya mobile lagba,,
271,Mi Note,redmi Note 10 koto,,
272,Note 9,Note 9 pro 4/128 ki available thakle er price koto,,
273,Note 9,Note 9 pro max available?,,
274,10 Pro,redmi Note 10 pro official tar price kto???8/128,,
275,Mi Note,Xaomi redmi Note 10 lite kemon?,,
276,POCO X3,poco x3 6/128 unofficial price plc?,,
277,10 Pro,redmi Note 10 pro 108mp ache?,,
278,10 Pro,redmi Note 10 pro (6/128) indian er price koto?,,
279,Redmi 9,Redmi 9A koto GB memory card support kore?,,
280,Mi Note,redmi Note 10 ..6/64 koto niben... unofficial,,
281,POCO X3,poco X3  pro কি official??,,
282,Mi Note,redmi Note 10 ki official??,,
283,3 Pro,X3 pro india version 6/128 er price,,
284,PRO 5,poco m3 pro 5g ???,,
285,3 Pro,Poco x3 pro price ki komano jabe?,,
286,10 Pro,redmi Note 10 pro 8/128 er price koto?,,
287,POCO X3,Poco x3 8/128 ki available?,,
288,Narzo,Realme Narzo 30a Avilable.?,,
289,2 Pro,poco m2 pro ace ?,,
290,PRO 6,Redmi not 9 Pro 6/128 price.and redmi not 9.  4/128 price,,
291,3 Pro,Poco X3 pro official e 26k .,,
292,10 Pro,"redmi Note 10 pro max r 1k komle kinbo,..!",,
293,10 Pro,redmi Note 10 pro official kobe asbe?,,
294,Mi Note,redmi Note 10 4/64 er ki ki colour available?,,
295,Aria,redmi Note 10 pro 108 Mp camera variant ta ki available 8/128,,
296,10 Pro,xiaomi redmi redmi Note 10 pro & pro max international or Indian?,,
297,10 5G,redmi Note 10 5g official payle onk best hoyto,,
298,OnePlus 8,oneplus 8t (12/256) Silver colour available?,,
299,Note 9,Redmi note 9 pro max 6/64 ki available...,,
300,10 Pro,redmi Note 10 pro max orege colar ta ki available?,,
301,10 Pro,redmi Note 10 Pro Max official নাকি ভাই,,
302,Redmi 9,Redmi 9 price plz,,
303,OnePlus 8,Oneplus 8 pro 8/128 price?,,
304,3 Pro,"Poco m3 pro  kobe pawa jabe,  janaben kindly..?",,
305,POCO X3,Poco x3 indian koto?,,
306,Mi Note,"""redmi Note 10 4/64 17190/- Indian"" eitar warrenty,guarenty ?",,
307,PRO 6,Poco X3 pro 6/128 ata ki ind global?,,
308,10 Pro,Not 10 pro mex ki International global?,,
309,Redmi 9,Redmi 9 4/64 price koto???,,
310,Mi 1,Mi 11 lite available?,,
311,Mi 1,Mi 11 pro or Ultra কবে আসবে বা পাবো,,
312,OnePlus 8,oneplus 8 ki dual sim.?,,
313,Note 9,Note 9pro max price?,,
314,Mi Note,redmi Note 10 official  koto-?,,
315,Redmi 9,Redmi 9 power  ki 64 sd card support  hobey,,
316,POCO F3,POCO F3 price??,,
317,10 Pro,redmi Note 10 Pro Max Super AMOLED display 6/128 sky color ta koto rskha jabe akhon nibo,,
318,Mi Note,redmi Note 10 6/128 ki International?,,
319,Mi Note,redmi Note 10 ki official?,,
320,3 Pro,Poco X3 pro ata India naki International,,
321,Mi Note,bhai redmi Note 10 dekhte paro... R ai page 1000% trusted amr agher phn eta thki anaisi,,
322,Redmi 9,redmi 9 power er price koto vai?,,
323,3 Pro,pocox3 pro ki international???,,
324,10 Pro,redmi Note 10 pro 108mp(6/128) official price koto,,
325,10 Pro,28k diye official redmi Note 10 Pro (108mp) pawa jasse r ei dike 26k+ unofficial.....,,
326,Mi Note,redmi Note 10 s available??,,
327,POCO F3,mi11x / poco f3 er kono update ace ?,,
328,3 Pro,x3 pro budget,,
329,Mi 1,F3 Available 8/256 or MI 11x 8/128?,,
330,OnePlus 8,Oneplus 8 black/interstellar glow 8/128 available ache?,,
331,3 Pro,Poco x3 pro,,
332,POCO F3,vai poco f3 have,,
333,3 Pro,X3 pro budget killer,,
334,3 Pro,Poco x3 pro budget and  my choice is x3 pro,,
335,POCO X3,poco x3 8/128 official ar prize koto??,,
336,3 Pro,Nije poco f3 chalai kintu budget e best poco x3 pro poco f3 ektu over price,,
337,Mi Note,redmi Note 10 price plz?,,
338,PRO 6,redmi Note 10 pro 6/128 ( International Global) price??,,
339,10 Pro,redmi Note 10 pro official kobe ashte pare stock e vai.?,,
340,iPhone 11,Iphone 11 battery Percentage. ?,,
341,2 Pro,12 pro max 128 gb battery health?,,
342,iPhone 7 Plus,iphone 7 plus battery helth koto..,,
343,2 Pro,Bro Apple 12 pro max intek hobe 265 gb price koto,,
344,iPhone 12,iPhone 12 128 gb koto taka? battery Percentage koto,,
345,One X+,iphone xr available?,,
346,One X+,iphone xs max new available...?,,
347,One X+,Iphone x unofficial koto dam,,
348,10 Pro,xiaomi redmi redmi Note 10 pro 8/128 price please.,,
349,Realme X,Realme X2 cn (8/256) apnader kache theke kinechilam..,,
350,Mi Note,redmi Note 10 prp max 6/128 sell korbomatro 5din hoice nici je,,
351,iPhone 8,"Can i exchange my iphone 8 plus (usa product with full box) with 11 pro , how much i have to add?",,
352,ROG Phone 5,Rog phone 5 12/256,,
353,2 Pro,IPhone 12 Pro 128 price?,,
354,2 Pro,"For 12 pro max AMEX gold card,  EMI conditions please?",,
355,iPhone 12,IPHONE 12 PRICE?,,
356,2 Pro,iphone 12 pro max 24k Gold buy korar process ta ki bhai ??,,
357,One S,iPhone SE 2020 available?,,
358,iPhone 12,Iphone 12 ultra  price koto bro?,,
359,iPhone 12,I have need iPhone 12pro max (golden),,
360,10 Pro,redmi Note 10 pro 108MP available??,,
361,10 Pro,10 pro available?,,
362,Mi 1,Mi 11 ta ki apnader kache available hobe r holeo price ta koto porbe plz kindly janaben...,,
363,POCO F3,Poco f3 ki available?,,
364,OnePlus 8,Oneplus 8T à¦ªà§à¦°à¦¾à¦‡à¦¸ à¦•à¦¤??,,
365,,,,
366,,,,
367,,,,
368,,,,
369,,,,
370,,,,
371,,,,
372,,,,
373,,,,
374,,,,
375,,,,
376,,,,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,,,,
383,,,,
384,,,,
385,,,,
386,,,,
387,,,,
388,,,,
389,,,,
390,,,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,,,,
400,,,,
401,,,,
402,,,,
403,,,,
404,,,,
405,,,,
406,,,,
407,,,,
408,,,,
409,,,,
410,,,,
411,,,,
412,,,,
413,,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,,,,
419,,,,
420,,,,
421,,,,
422,,,,
423,,,,
424,,,,
425,,,,
426,,,,
427,,,,
428,,,,
429,,,,
430,,,,
431,,,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,,
440,,,,
441,,,,
442,,,,
443,,,,
444,,,,
445,,,,
446,,,,
447,,,,
448,,,,
449,,,,
450,,,,
451,,,,
452,,,,
453,,,,
454,,,,
455,,,,
456,,,,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,,,,
463,,,,
464,,,,
465,,,,
466,,,,
467,,,,
468,,,,
469,,,,
470,,,,
471,,,,
472,,,,
473,,,,
474,,,,
475,,,,
476,,,,
477,,,,
478,,,,
479,,,,
480,,,,
481,,,,
482,,,,
483,,,,
484,,,,
485,,,,
486,,,,
487,,,,
488,,,,
489,,,,
490,,,,
491,,,,
492,,,,
493,,,,
494,,,,
495,,,,
496,,,,
497,,,,
498,,,,
499,,,,
500,,,,
501,,,,
502,,,,
503,,,,
504,,,,
505,,,,
506,,,,
507,,,,
508,,,,
509,,,,
510,,,,
511,,,,
512,,,,
513,,,,
514,,,,
515,,,,
516,,,,
517,,,,
518,,,,
519,,,,
520,,,,
521,,,,
522,,,,
523,,,,
524,,,,
525,,,,
526,,,,
527,,,,
528,,,,
529,,,,
530,,,,
531,,,,
532,,,,
533,,,,
534,,,,
535,,,,
536,,,,
537,,,,
538,,,,
539,,,,
540,,,,
541,,,,
542,,,,
543,,,,
544,,,,
545,,,,
546,,,,
547,,,,
548,,,,
549,,,,
550,,,,
551,,,,
552,,,,
553,,,,
554,,,,
555,,,,
556,,,,
557,,,,
558,,,,
559,,,,
560,,,,
561,,,,
562,,,,
563,,,,
564,,,,
565,,,,
566,,,,
567,,,,
568,,,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
576,,,,
577,,,,
578,,,,
579,,,,
580,,,,
581,,,,
582,,,,
583,,,,
584,,,,
585,,,,
586,,,,
587,,,,
588,,,,
589,,,,
590,,,,
591,,,,
592,,,,
593,,,,
594,,,,
595,,,,
596,,,,
597,,,,
598,,,,
599,,,,
600,,,,
601,,,,
602,,,,
603,,,,
604,,,,
605,,,,
606,,,,
607,,,,
608,,,,
609,,,,
610,,,,
611,,,,
612,,,,
613,,,,
614,,,,
615,,,,
616,,,,
617,,,,
618,,,,
619,,,,
620,,,,
621,,,,
622,,,,
623,,,,
624,,,,
625,,,,
626,,,,
627,,,,
628,,,,
629,,,,
630,,,,
631,,,,
632,,,,
633,,,,
634,,,,
635,,,,
636,,,,
637,,,,
638,,,,
639,,,,
640,,,,
641,,,,
642,,,,
643,,,,
644,,,,
645,,,,
646,,,,
647,,,,
648,,,,
649,,,,
650,,,,
651,,,,
652,,,,
653,,,,
654,,,,
655,,,,
656,,,,
657,,,,
658,,,,
659,,,,
660,,,,
661,,,,
662,,,,
663,,,,
664,,,,
665,,,,
666,,,,
667,,,,
668,,,,
669,,,,
670,,,,
671,,,,
672,,,,
673,,,,
674,,,,
675,,,,
676,,,,
677,,,,
678,,,,
679,,,,
680,,,,
681,,,,
682,,,,
683,,,,
684,,,,
685,,,,
686,,,,
687,,,,
688,,,,
689,,,,
690,,,,
691,,,,
692,,,,
693,,,,
694,,,,
695,,,,
696,,,,
697,,,,
698,,,,
699,,,,
700,,,,
701,,,,
702,,,,
703,,,,
704,,,,
705,,,,
706,,,,
707,,,,
708,,,,
709,,,,
710,,,,
711,,,,
712,,,,
713,,,,
714,,,,
715,,,,
716,,,,
717,,,,
718,,,,
719,,,,
720,,,,
721,,,,
722,,,,
723,,,,
724,,,,
725,,,,
726,,,,
727,,,,
728,,,,
729,,,,
730,,,,
731,,,,
732,,,,
733,,,,
734,,,,
735,,,,
736,,,,
737,,,,
738,,,,
739,,,,
740,,,,
741,,,,
742,,,,
743,,,,
744,,,,
745,,,,
746,,,,
747,,,,
748,,,,
749,,,,
750,,,,
751,,,,
752,,,,
753,,,,
754,,,,
755,,,,
756,,,,
757,,,,
758,,,,
759,,,,
760,,,,
761,,,,
762,,,,
763,,,,
764,,,,
765,,,,
766,,,,
767,,,,
768,,,,
769,,,,
770,,,,
771,,,,
772,,,,
773,,,,
774,,,,
775,,,,
776,,,,
777,,,,
778,,,,
779,,,,
780,,,,
781,,,,
782,,,,
783,,,,
784,,,,
785,,,,
786,,,,
787,,,,
788,,,,
789,,,,
790,,,,
791,,,,
792,,,,
793,,,,
794,,,,
795,,,,
796,,,,
797,,,,
798,,,,
799,,,,
800,,,,
801,,,,
802,,,,
803,,,,
804,,,,
805,,,,
806,,,,
807,,,,
808,,,,
809,,,,
810,,,,
811,,,,
812,,,,
813,,,,
814,,,,
815,,,,
816,,,,
817,,,,
818,,,,
819,,,,
820,,,,
821,,,,
822,,,,
823,,,,
824,,,,
825,,,,
826,,,,
827,,,,
828,,,,
829,,,,
830,,,,
831,,,,
832,,,,
833,,,,
834,,,,
835,,,,
836,,,,
837,,,,
838,,,,
839,,,,
840,,,,
