,coment,date,weight
83,"note 10 pro offical dam dicout diya 26 k eta un official 24500 chai vai apnera,ki pagol hoiya gasen naki",1w,
84,Samsung S21 Ultra 5G. 12/256gb Sd...প্রাইজ কত,1w,
85,One + 9 pro 12/256 ki global edition?,5d,
86,Note 10 pro 6/128gb which country rom?,1w,1 Reply
87,poco x3 6/128 unofficial nai,1w,2 Replies
88,Poco m3 6/128 available??,1w,
89,oneplus 8t 8-128 price ?,,1 Reply
90,চেক ইনবক্স,,2 Replies
91,Vai redmi note 10 pro ase???,,1 Reply
92,Ekhon Available ase all colour?,,3 Replies
93,Note 10 pro max price,,4 Replies
94,6/128 need.....koto?,,1 Reply
95,Indian ta koto,,2 Replies
96,,,1 Reply
97,6/128 ta koto?,,1 Reply
98,bhai deken.,,1 Reply
99,vaia indian global ta price ?,,1 Reply
100,১৫০০০ দিবেন?  আজকেই নিব!!,,1 Reply
101,Note 10 s?,,1 Reply
102,Vhaia redmi note 8 koto tk??,,2 Replies
103,INDIAN OR INTERNATIONAL  এর। ভেতরে কোনো পার্থক্য আছে?,,1 Reply
104,Note 10 pro Indian price koto??,,1 Reply
105,6/128 koto,,1 Reply
106,Poco x3 pro 6/128 price ?,,1 Reply
107,Note 20 ultra sd price?,,1 Reply
108,ভাইইইইইই,,
109,ভাই কিছু বলেন,,3 Replies
110,poco x3 6/128 indian unofficial price ??,,4 Replies
111,"set jmn e hok.. Dam dekhe akta word e reflect hoy & that is ""Baal""",2w,3 Replies
112,And it doesnt support google services and no option of xiaomi eu rom as well....Jhara kinbe chodna khaoya chara upay nai.,2w,3 Replies
113,You trying to create hype.,2w,
114,price?,2w,
115,32k hoile nibo jodio camera valo na. Waiting for this since apr 27,1w,
116,Price,2w,2 Replies
117,Looks similar,2w,Tenor
118,Price?,2w,
119,I need it for Redmi K20,2w,
120,Price Koto porbe???,2w,
121,B@aler Mediatek amer.. tao 6nm.. .. ettheke 5nm sd er ta aro beast,2w,6 Replies
122,Redmi k40 Bruce Lee special edition mybe,2w,
123,Price??,2w,
124,"nope, waiting for mi 11 lite 5g",2w,
125,price koto???,2w,
126,Poco x3 indian price koto?,2w,
127,,2w,1 Reply
128,price...,2w,
129,Price please?,2w,
130,Price .?,2w,
131,Iqoo 7 asbe kn din?,2w,
132,Samsung A51 ar jonno case hoba amn?,2w,
133,Price??,2w,
134,MT6893 Dimensity 1200 5G (6 nm),2w,
135,Price,2w,
136,30k. Hole best,1w,
137,Gadget N Gadget thke kew mobile kinle ektu knock korben kindly..!,2w,
138,এইটা POCO x3 pro এর জন্য পাওয়া যাবে?,2w,
139,Mi 11 lite 5G kobe anben,2w,
140,,2w,
141,8/256 ভেরিয়েন্ট আছে প্রাইজ???,2w,
142,Dam koto,6d,
143,,1w,1 Reply
144,vai mobile ta  vai er leg kamon hoibo?,2w,1 Reply
145,Ki model er phn aita vai ?,2w,
146,32 er ase-pase hoile bolen noile post dlt koren kew kinbe nah,2w,
147,Vaiya!,2w,
148,,2w,
149,line ta chena chena lage?,2w,6 Replies
150,hbe naki?,2w,4 Replies
151,",  Gift lagbo ni!",2w,6 Replies
152,e call msg diye pawa jay na Kno??,2w,
153,aibo ata,2w,2 Replies
154,ogu dek gameing phone,2w,
155,tui jeita chaisos,2w,
156,Call of Duty mobile a ihudi der triangle and ai picture ta kar ? Israel language diya ki likha?,2w,
157,,2w,
158,Koby paws jaby,1w,
159,Er theke oneplus 9R far better,2w,
160,A Vai phone ta doran na kan aktu bolban!??,2w,
161,So sad,2w,
162,7+er nai emon,2w,
163,Mi 11 lite ki Bangladesh a official asbe..,,
164,Any  EMI available??,,
165,Poco f3 available,,
166,Xiaomi mi 11 lite 5g available?,,
167,Redmi note 9 nibo,,
168,poco x3 pro ki international global?,,
169,Kire vai eid offer e bollen note10 4/64 int.global price 16990 R ekhn update dicchen 17450!,,
170,Redmi k40 8-128 white ki available,,
171,redmi note 10 pro(indian) price ?,,
172,Mi 11 lite 5g ( SD 780g) :,,
173,Hobe,,
174,note 10 pro nibo 6/128,,
175,Exchange kora jane realme 8 pro exchange kore mi 11 lite Nita cacci,,
176,note 10 official price?,,
177,Mi 11 lite price?,,
178,poco x3 pro indian naki international?,,
179,"Realme 8 ,20000 hobe v",,
180,Redmi note 9 nibo....,,
181,hbe naki?,,
182,One Plus8 6/128 Interstellar Glow colour available?  Nd price?,,
183,poco x3 pro 8/128 ?,,
184,,,
185,Redmi k4আপডেট প্রাইসলিস্টঃ,,
186,REDMI NOTE 9 pro,,
187,Okay! Poco x3 pro & very sleek design okay again,,
188,She have zero knowledge about smartphones without design,,
189,Abal e koy ki...ey muta phone Pretty hoy kemne   chukh ki gese na ase,,
190,Poco x3 pro indian version and chineese version er difference ki? and better konta?,,
191,8/256 price koto?,,
192,মূল্যঃ 365 টাকা মাত্র,,
193,Mithu Bhai Review ta Korle Akhon E Niye Nitam,,
194,"Apu use na korle amk gift kor ait apnr type phn na, apnra asob gift ki vabe pn use to korn na..",,
195,Honestest review ever,,
196,এতদিন ধরে Poco X3 চালাচ্ছি কিন্ত ফোনটা এত যে প্রিটি ভিডিওটি না দেখলে জীবনেও জানতাম না।,,
197,X3 pro slick hoile vivo v20 is a joke,,
198,Innocent,,
199,Redmi k40 white ki available,,
200,Roja r mash eo era change holo na,,
201,Ata ki official  hobe,,
202,apa ki pakistani?,,
203,Ei video dekhar por.Poco X3 kinar iccha chole geche,,
204,x3 pro slick?,,
205,bhaiya er shaty boom free,,
206,কিনে ফেল এটাই সুজগ,,
207,সরাসরি গিয়ে কিনলে কি সমস্যা?,,
208,,,
209,,,
210,Please Promote Smartphones With People Who Have Knowledge About the Device,,
211,dokan theke nile kno offer ace?,,5 Replies
212,Gedget N Gedget for Cyclone Feb 26…,,
213,Osthir system,,4 Replies
214,16400 tk neya ami,,
215,"Alhamdullah dam komtese,, 10k t neme asle kine felbo in sha Allah",,2 Replies
216,Note 10  official  4/64 ki available??,,
217,16300 taka diye niyen. Amar teke,,3 Replies
218,Ordar kore fellam!,,
219,redmi note 10 pro indian tar,,
220,6/128 gb price?,,
221,Market take nile ki offer pabo,,
222,হেতাগ মত আজাইরা আর ফাউল শপ দুনিয়ায় নগণ্য।হেতারা ইভ্যালি তে ৬০-৭০% ডিসকাউন্ট অফার দিয়া ৫-৬ মাস পর ডেলিভারি পায় মানুষ।কিন্তু হেতারা কোনো খবর রাখে নাহ।বলে ইভ্যালি নাকি সব প্রসিডিউর করবে।এটাতে যে হেতাগ শপের বদনাম হইতাছে হেডা খেয়াল নাই।,,
223,Note 10 pro max price? ?,,
224,Order korbo ke vaba,,
225,২ দিন আগে কিনলাম ১৭৫০০ আর এখন ৫০০ কমে গেছে,,9 Replies
226,আজকে রাত ৪টা পর্যন্ত অফার থাকবে?,,
227,Order korbo ke vaba,,
228,vai redmi k30i 5g er ki ekno kuno somadan ase nai,,
229,Vai indian ta koto..,,
230,6/128 price plz,,
231,4/128 gb price?,,2 Replies
232,,,
233,vai note 10 pro offer dilen na?,,
234,17 tui nisos 19,,2 Replies
235,unofficial naki???,,
236,6/128 price,,
237,2 hand phone lagbe kaw jodi sell koren tahole inbox a asen plz,,
238,Shop a asle offer pabo?,3w,4 Replies
239,এ ফোন চলে না ভাইয়া।,2w,1 Reply
240,"শুধু অনলাইনে কেনো ,,অফলাইনে কেনো নিয়া যাবে না ফোন সমস্যা আছে নাকি  আর ফোন কি অফিশিয়াল নাকি অনোফিস্যাল..?",3w,1 Reply
241,oneplus n10 price koto,3w,4 Replies
242,Unofficial set ETA leika den naih kno,3w,1 Reply
243,"POCO X3 Pro এর অফার থাকলে বইলেন, এইসব লুতুপুতু খেলা দেখায়েন নাহ।",3w,6 Replies
244,"ভালো কথা, কিন্তুু অফলাইনে এভিইলেভল নয় কেন??",3w,2 Replies
245,দাম অনেক বেশি। এই প্রসেসর এখন আর চলে না,3w,1 Reply
246,Ai dam aw ai phone nea thik Na,3w,1 Reply
247,Official phone ki.....????,3w,1 Reply
248,Sd 460 faltu fon.15k dia 710sd pawa jai,3w,1 Reply
249,one plus brand বলে এতো দাম :,3w,
250,Rog 5 available..?,3w,5 Replies
251,Global Oneplus 8 pro 12/256GB & 8/128 GB প্রাইজ কত ভাই...?,3w,
252,One plus Nord price??,2w,
253,Note 10 price koto,3w,
254,Phone basay gia dia gele nite pari... Hand to hand... Raji thakle bolen,2w,
255,Nord er version valo na,3w,
256,Poco f2 pro available?,3w,4 Replies
257,Aita ki accay,3w,
258,Tumi amake boka banate parba nh,2w,
259,paid system kmn???,2w,
260,সিম্ফনি কে ওয়ান প্লাসের ড্রেস পরিয়ে বিক্রি করার চেষ্টা,2w,
261,Shop a giye ana jabe,3w,
262,এগুলো কি কপি ফোন নাকি??,2w,
263,আপনাদের শপ কোথায়..?,2w,
264,Matha ki thik ase.... Nki,3w,
265,বাসায় আইসা দিয়া গেলে পেমেন্ট পাইবেন,2w,
266,Gift available ?,3w,
267,Kew vai age tk diyen na,2w,
268,700 taka Processor ekn manos khai na,3w,
269,one plus er kon model price koto janaben pls !!!,3w,
270,OnePlus10 pro koto?,3w,
271,Redmi note 9 t 5G ki available hobe,3w,
272,Bai ata ki 6 GB raem hoba,3w,
273,10k ar niche hole ai phone ta neoya jai...,3w,
274,Hossain aida lois tui,3w,
275,Comment gulo poro mamu!,2w,1 Reply
276,amr ekta lagbe,3w,
277,ekhn eita loia lo...apadoto..,3w,
278,কিইনা ল দোস্ত!!,3w,
279,kinna lan ekta,3w,4 Replies
280,Risk ne 1ta,3w,2 Replies
281,,2w,
282,is it available?,1w,
283,14k te kmne dicchen?,2w,
284,Faked,2w,
285,Defective/ refurbished / used product ejonno only online order lol,3w,
286,Note 10 pro r offer den ekta boro soro..,2w,
287,Processor?,3w,6 Replies
288,Ato kom porice kno vi,2w,
289,,2w,2 Replies
290,Shop a asle offer pabo?,3w,4 Replies
291,এ ফোন চলে না ভাইয়া।,2w,1 Reply
292,"শুধু অনলাইনে কেনো ,,অফলাইনে কেনো নিয়া যাবে না ফোন সমস্যা আছে নাকি  আর ফোন কি অফিশিয়াল নাকি অনোফিস্যাল..?",3w,1 Reply
293,oneplus n10 price koto,3w,4 Replies
294,Unofficial set ETA leika den naih kno,3w,1 Reply
295,"POCO X3 Pro এর অফার থাকলে বইলেন, এইসব লুতুপুতু খেলা দেখায়েন নাহ।",3w,6 Replies
296,"ভালো কথা, কিন্তুু অফলাইনে এভিইলেভল নয় কেন??",3w,2 Replies
297,দাম অনেক বেশি। এই প্রসেসর এখন আর চলে না,3w,1 Reply
298,Ai dam aw ai phone nea thik Na,3w,1 Reply
299,Official phone ki.....????,3w,1 Reply
300,Sd 460 faltu fon.15k dia 710sd pawa jai,3w,1 Reply
301,one plus brand বলে এতো দাম :,3w,
302,Rog 5 available..?,3w,5 Replies
303,Global Oneplus 8 pro 12/256GB & 8/128 GB প্রাইজ কত ভাই...?,3w,
304,One plus Nord price??,2w,
305,Note 10 price koto,3w,
306,Phone basay gia dia gele nite pari... Hand to hand... Raji thakle bolen,2w,
307,Nord er version valo na,3w,
308,Poco f2 pro available?,3w,4 Replies
309,Aita ki accay,3w,
310,Tumi amake boka banate parba nh,2w,
311,paid system kmn???,2w,
312,সিম্ফনি কে ওয়ান প্লাসের ড্রেস পরিয়ে বিক্রি করার চেষ্টা,2w,
313,Shop a giye ana jabe,3w,
314,এগুলো কি কপি ফোন নাকি??,2w,
315,আপনাদের শপ কোথায়..?,2w,
316,Matha ki thik ase.... Nki,3w,
317,বাসায় আইসা দিয়া গেলে পেমেন্ট পাইবেন,2w,
318,Gift available ?,3w,
319,Kew vai age tk diyen na,2w,
320,700 taka Processor ekn manos khai na,3w,
321,one plus er kon model price koto janaben pls !!!,3w,
322,OnePlus10 pro koto?,3w,
323,Redmi note 9 t 5G ki available hobe,3w,
324,Bai ata ki 6 GB raem hoba,3w,
325,10k ar niche hole ai phone ta neoya jai...,3w,
326,Hossain aida lois tui,3w,
327,Comment gulo poro mamu!,2w,1 Reply
328,amr ekta lagbe,3w,
329,ekhn eita loia lo...apadoto..,3w,
330,কিইনা ল দোস্ত!!,3w,
331,kinna lan ekta,3w,4 Replies
332,Risk ne 1ta,3w,2 Replies
333,,2w,
334,is it available?,1w,
335,14k te kmne dicchen?,2w,
336,Faked,2w,
337,Defective/ refurbished / used product ejonno only online order lol,3w,
338,Note 10 pro r offer den ekta boro soro..,2w,
339,Processor?,3w,6 Replies
340,Ato kom porice kno vi,2w,
341,,2w,2 Replies
342,Shop a asle offer pabo?,3w,4 Replies
343,এ ফোন চলে না ভাইয়া।,2w,1 Reply
344,"শুধু অনলাইনে কেনো ,,অফলাইনে কেনো নিয়া যাবে না ফোন সমস্যা আছে নাকি  আর ফোন কি অফিশিয়াল নাকি অনোফিস্যাল..?",3w,1 Reply
345,oneplus n10 price koto,3w,4 Replies
346,Unofficial set ETA leika den naih kno,3w,1 Reply
347,"POCO X3 Pro এর অফার থাকলে বইলেন, এইসব লুতুপুতু খেলা দেখায়েন নাহ।",3w,6 Replies
348,"ভালো কথা, কিন্তুু অফলাইনে এভিইলেভল নয় কেন??",3w,2 Replies
349,দাম অনেক বেশি। এই প্রসেসর এখন আর চলে না,3w,1 Reply
350,Ai dam aw ai phone nea thik Na,3w,1 Reply
351,Official phone ki.....????,3w,1 Reply
352,Sd 460 faltu fon.15k dia 710sd pawa jai,3w,1 Reply
353,one plus brand বলে এতো দাম :,3w,
354,Rog 5 available..?,3w,5 Replies
355,Global Oneplus 8 pro 12/256GB & 8/128 GB প্রাইজ কত ভাই...?,3w,
356,One plus Nord price??,2w,
357,Note 10 price koto,3w,
358,Phone basay gia dia gele nite pari... Hand to hand... Raji thakle bolen,2w,
359,Nord er version valo na,3w,
360,Poco f2 pro available?,3w,4 Replies
361,Aita ki accay,3w,
362,Tumi amake boka banate parba nh,2w,
363,paid system kmn???,2w,
364,সিম্ফনি কে ওয়ান প্লাসের ড্রেস পরিয়ে বিক্রি করার চেষ্টা,2w,
365,Shop a giye ana jabe,3w,
366,এগুলো কি কপি ফোন নাকি??,2w,
367,আপনাদের শপ কোথায়..?,2w,
368,Matha ki thik ase.... Nki,3w,
369,বাসায় আইসা দিয়া গেলে পেমেন্ট পাইবেন,2w,
370,Gift available ?,3w,
371,Kew vai age tk diyen na,2w,
372,700 taka Processor ekn manos khai na,3w,
373,one plus er kon model price koto janaben pls !!!,3w,
374,OnePlus10 pro koto?,3w,
375,Redmi note 9 t 5G ki available hobe,3w,
376,Bai ata ki 6 GB raem hoba,3w,
377,10k ar niche hole ai phone ta neoya jai...,3w,
378,Hossain aida lois tui,3w,
379,Comment gulo poro mamu!,2w,1 Reply
380,amr ekta lagbe,3w,
381,ekhn eita loia lo...apadoto..,3w,
382,কিইনা ল দোস্ত!!,3w,
383,kinna lan ekta,3w,4 Replies
384,Risk ne 1ta,3w,2 Replies
385,,2w,
386,is it available?,1w,
387,14k te kmne dicchen?,2w,
388,Faked,2w,
389,Defective/ refurbished / used product ejonno only online order lol,3w,
390,Note 10 pro r offer den ekta boro soro..,2w,
391,Processor?,3w,6 Replies
392,Ato kom porice kno vi,2w,
393,,2w,2 Replies
394,poco f3 available and price?,5d,1 Reply
395,Oneplus 8 ki ki color e ache?,4d,1 Reply
396,oneplus 7t price?,5d,1 Reply
397,"Poco X3 pro international global hobena,,",4d,1 Reply
398,Redmi note 10 int global 4/64 available?,5d,8 Replies
399,Realme 7 unofficial koto 6/64,5d,1 Reply
400,"Redmi note 10 pro max Int. Global official, Price???",4d,1 Reply
401,এখানে দেখ samsung a71 এর মুল্য,5d,1 Reply
402,xiaomi Redmi K40 avillable  with price??,5d,1 Reply
403,realme 8 official price?,5d,1 Reply
404,Note 9pro 4/64 int global?,5d,1 Reply
405,Realme 7 pro unofficial price koto....,5d,1 Reply
406,Rog 5,4d,1 Reply
407,Realme 7 pro available?,5d,1 Reply
408,"Poco X3 pro Int. Global official, seriously?",5d,1 Reply
409,mi 11 lite blackcolor ase ?,5d,1 Reply
410,International global official???x3 pro,5d,1 Reply
411,egulu ki unofficial er price?,5d,1 Reply
412,redmi note 10 white colour ta ache ki,5d,1 Reply
413,,5d,1 Reply
414,26,5d,1 Reply
415,Redmi 9 4/64 (Chinese) Full Intact ? নাকি দোকানে রিপলি করা?,5d,1 Reply
416,redmi note 9 pro ta ki international global?,5d,1 Reply
417,"Redmi 9 Chinese 3/4 পিছ নিলে কত রাখবেন, আর 9A. আছে কিনা?",5d,1 Reply
418,kine felo,5d,1 Reply
419,Bhaia OnePlus 8 ki ki color variant ase?,5d,1 Reply
420,Sir note 10 pro max ami nabo,5d,3 Replies
421,Redmi 9 4/64••••••11999/-(Chinese),5d,1 Reply
422,ভাই কোন টা Int global r ind global এটা বুঝব কিভাবে যদি বলতেন,5d,2 Replies
423,ভাই Realme 8 pro 6/128 এইটা কি আপনাদের কাছে আছে এখন। আর থাকলে দাম কতো বলবেন,5d,4 Replies
424,K40 pro price,5d,1 Reply
425,Poco M2 Pro,5d,1 Reply
426,REALME 8 (30 watt) full charge hote somoy ney almost 66 min but note 10 (33 watt) somoy ney almost 102 min . Same battery capacity te ato time difference keno???,5d,
427,Redm 9 4/64 Int global yar akta pic diban full intact box yar??,5d,
428,Note 10 pro...International global ase ki??,4d,
429,Realme 7 pro color konta ache? And kalke ashle pawa jabe confirm?,5d,
430,,1d,
431,Realme 8 unofficial price koto,5d,1 Reply
432,Mi 11 lite available?,2d,
433,note 9 indian or global,3w,1 Reply
434,realme 8 pro 8/128 unoffical price kotho,3w,1 Reply
435,Redmi not 9 pro ki available ace,3w,1 Reply
436,Redmi Note 10 price ke fixed & products ke available?,3w,2 Replies
437,Note 10 4/64 ta ki Global Variant naki Indian Variant??,3w,1 Reply
438,,3w,1 Reply
439,Best price of Poco X3 pro,3w,1 Reply
440,note 10 ki global price naki indian price??,3w,1 Reply
441,Note 10 pro official kobe ashbe?,3w,2 Replies
442,poco x3 6/128 available? Or unofficial?,3w,1 Reply
443,Mehedi Hasan Razu,3w,1 Reply
444,Note 10 pro Max.ki International global?,3w,2 Replies
445,Vai Note 10 er price ta ektu komaben na?,3w,1 Reply
446,Redmi note 10 pro unoffisial price,2w,
447,,3w,1 Reply
448,Note 10pro (64mp) er tar 8/128gb er price koto?,1w,
449,note 10 pro international availabe? na thakle kobe paoa jabe?,3w,
450,Mi 11 lite 5g ashce?,3w,1 Reply
451,Note 10 pro এর দাম কি প্রতিদিন ৪০০/৫০০ করে বাড়ে নাকি,3w,4 Replies
452,Poco f3 8/256 price?,3w,6 Replies
453,x3 pro ki international global??,3w,1 Reply
454,Note 10 4/64 international?,3w,1 Reply
455,X3 pro ki international?,3w,1 Reply
456,10T Pro ki ase,3w,1 Reply
457,i phone 8 plus ta dite parbn?,3w,1 Reply
458,note 10 pro chinese ta ki available?,3w,1 Reply
459,Poco x3 6/64 asa naki,3w,
460,Oneplus 9pro price ?,3w,
461,আপনাদের evaly র প্রোডাক্ট গুলো ডেলিভারি দিতে এতো দেরি হয় কেন?,3w,
462,x3 pro ki international?,3w,
463,X3 pro international ki available ache...?,3w,
464,Note 10 ki dite parben? 4/64 indian.,3w,2 Replies
465,Need poco x3,3w,
466,Note 10 pro 8/128 global ki ase,3w,
467,Samsung Galaxy A52 available hbe ki???r hole prices koto???,3w,
468,Mi 11 nai vai?,1w,
469,note 10 pro max official price?,,1 Reply
470,Note 10 Pro ( International)  global version হবে??,,1 Reply
471,,,1 Reply
472,Poco f3 pro er price?,,1 Reply
473,,,1 Reply
474,Realme x2 pro available?,,2 Replies
475,iqoo7 kobe ashbe.  naki ashbena?,,1 Reply
476,poco f3 pro ber houar chances ache?,,1 Reply
477,Redmi Note 9 ta ki available ace ?,,1 Reply
478,Poco F3 limited bolte koyta stock a ase bujhacchen?,,1 Reply
479,Note 10 4/64 Aikhan a price 16690tk,,
480,,,12 Replies
481,8/256 poco f3 price,,
482,8 tarikh ki redmi note 10 pro er price akoi thakbe? ar kono discount hbe kina aktu bolben plz.,,
483,"Regular price er sathe Offer price gulo o ki ki , seta sathe na likhe dile bujhbo ki kore ?",,
484,Mi 11 lite koto?,,
485,Poco f3 5g global white colour hobe?,,
486,dakhen vai...amio ekhan theke online a nici.,,
487,poco m3 official?,,
488,Samsung S21 ultra SD edition?,,
489,"দাম বাড়ে নাই কমে নাই, কিন্তু আপডেট লিস্ট",,1 Reply
490,Too Much...Price,3w,5 Replies
491,"Poco F3 8/128 Price Pls,",3w,
492,Price koto sir 6-128,3w,3 Replies
493,regular price koto,3w,1 Reply
494,Price,3w,1 Reply
495,Price???,3w,
496,Price,3w,
497,Price plzz..?,3w,
498,prise,1w,
499,8gb price ...,3w,
500,8/256 GB r ta kobe Asbe??,2w,
501,vai Iqoo 7 anben??,3w,
502,Price???,3w,
503,"সবইতো আগুন, বরফ কোনটা?",3w,1 Reply
504,price?,3w,4 Replies
505,Vai 6/128 price,3w,2 Replies
506,দাম লিখলে কি আপনাগো মানুষে থাপ্পর মারে?,3w,
507,Poco F3 er ki 8/128 variant asbe?,3w,3 Replies
508,30990tk hole ekta kintam,3w,4 Replies
509,Price,3w,
510,Price,3w,
511,Price plz,3w,
512,ছোট্ট,3w,
513,ভাই দাম কত,3w,
514,F3 dia ki hobo....redmi k40 pro lagbo,3w,
515,everybody wait. bd te launch hosche 6 tarikhe,3w,5 Replies
516,,3w,
517,কি ভাই!!!! প্রাইস লিখতে কি চুলকায়!!!!!!!,3w,
518,,3w,
519,How much?,3w,
520,price 144000 tk only,3w,
521,chol jai,3w,1 Reply
522,Price....?,3w,2 Replies
523,33-34k hole tik ache nahole nai,3w,
524,Price koto dichen?,3w,
525,Pp,3w,
526,পিরাইজ কত?,3w,
527,Price,3w,
528,30K?,3w,
529,,3w,1 Reply
530,Price,3w,1 Reply
531,Poco x3,4w,2 Replies
532,,4w,1 Reply
533,Redmi note 10 pro international version টা নাই ??,4w,1 Reply
534,,4w,1 Reply
535,,4w,1 Reply
536,রেডমি টেন আর পোকো এক্স থ্রি ছাড়া আর ত কোনো ফোন দেখিনা,4w,2 Replies
537,"Poco x3 nite chai,,,",4w,1 Reply
538,note 10 4/64 ekhono ki ei dame paoya jae,4w,2 Replies
539,where adyan delivery update.. please update adyan delivery stock.. our demund redmi note 10 pro,4w,
540,Vai Mi 11lite 5g eta paowa jbe? Ar price ta kmn porbe? Ami nite chai.,3w,
541,radmi note 10pro max... global version ta ki available...?,4w,
542,Vai Redmi Note 10 4/64 ভ্যারিয়েন্টে অন্যরা নিচ্ছে ১৫৯৯৯/১৬০০০ আর আপনারা ১৬৬৯০,3w,2 Replies
543,Note 10 (6/128) INT GLOBAL...still available with colour?,3w,
544,Tnx vai poco x3 peyesi intex phone !,3w,
545,note 10 pro max nite cassi?,3w,
546,Realme 8 price koto,3w,
547,Note 10 official available?,3w,
548,Mi note 9 pro max 6/128 ??,3w,
549,Price koto,2w,
550,EMI Kon Kon bank applicable and kon card Accept koren kindly aktu janaben?,4w,
551,Shawon,4w,
552,Interest F3 plz,4w,1 Reply
553,Prize,4w,1 Reply
554,Prize,4w,2 Replies
555,ধুর F3 নিয়া আসেন,4w,5 Replies
556,আপনারা Mi 11x pro আনবেন বা k40 pro global rom flash করে দিতে পারবেন??,4w,1 Reply
557,,4w,3 Replies
558,K40 এর প্রাইজ কত?,4w,2 Replies
559,k40 price plz,4w,3 Replies
560,দাম কত?,4w,3 Replies
561,price pls.,4w,1 Reply
562,ক্যামেরার সেন্সর কিসের!,4w,2 Replies
563,eita free shop a gele e dia dibe ei jonnu dam dei nai,4w,3 Replies
564,China or Global Ram?,4w,
565,price?,3w,
566,Global?,3w,
567,44k,4w,
568,Poco F3 er price koto ???,4w,
569,price?,4w,
570,দাম??,4w,2 Replies
571,,4w,
572,official??,4w,
573,K40 pro+ ki ashar kono chance acce??,1w,
