,model,comment,sentiment,sex
3310,Realme 8,ha vai britghness joss realme 8 er?1,1,
1448,iPhone XR,iphone xr price range ... !,1,1.0
2739,KeyOne,xs mate kinte chai price keyone ekhon,1,1.0
1981,Mi Note,Amar redmi note 9 lagbe ok,1,0.0
229,Mi 11 Lite,Mi 11 lite ki Bangladesh a official asbe ..,1,0.0
4414,OnePlus 8,oneplus 8 very ugly and weired,0,1.0
4173,Poco x3,Post a detailed review for poco x3,1,1.0
3214,iPhone 12,iphone 12 dekte paren charge valo thake,1,0.0
2281,Pixel 4,Bluetooth 5.0 Pixel 4 e available ase,1,1.0
4490,Realme 8,fingerprint sensor ase realme 8 e,1,0.0
2411,Realme 8,real me 8 er ear monitoring system kemon?,1,1.0
1514,Realme 8,realme 8 er processor khrap,0,0.0
2702,Poco x3,poco x3 nia revie den vai,1,0.0
3178,Poco x3,poco x3 cahra apadoto pung khealr jonne valo phone nai,1,0.0
1349,Realme 8,ami saradin realme 8 e game kheli,1,1.0
2894,Poco x3,smule user hoile poco x3 nen,1,1.0
3271,Poco x3,Proximity sensor ase poco x3 e,1,1.0
637,POCO X3,tk nsto poco x3,0,0.0
3936,OnePlus 8,sob pubg vai bonra oneplus 8 kinen,1,0.0
1250,Poco x3,ekta poco x3 lagbe amar?1,1,
3211,Redmi 9,redmi 9 er ki ki color availabel ase,1,0.0
500,Realme 8,wild rift khealr jonne nile realme 8 nen,1,0.0
1043,Realme X2,cpu kmn realme x2 er,1,1.0
5172,Realme C17,realme c17 price 6/128,1,1.0
3593,iPhone 11,iphone 11 128 gb price ? ? ?,1,1.0
2167,Redmi 9,redmi 9 er design wrost,0,1.0
3684,iPhone 11,jekno game khela jay iphone 11 die,1,1.0
3990,iPhone X,iphone X 64gb,1,0.0
3395,POCO X3,baje ekta phone poco x3,0,0.0
1762,Redmi 9,redmi 9 e valo ekta ai use krse,1,0.0
1170,Poco x3,battery er jonen kinle poco x3 kinen,1,1.0
3340,Realme 8,realme 8 er color black r rekta ki,1,0.0
5206,Realme 8,ekta dami premium phone er look ase realme 8 e,1,1.0
1554,Redmi 9,amr ekta valo phone lagbe redmi 9 valo hbe ki,1,1.0
4095,Realme 8,realme 8 er raam onek beshi fast onno phone er cheye,1,0.0
1033,OnePlus 8,dst ami oneplus 8 kinsi tui o kin,1,0.0
3870,OnePlus 8,oneplus 8 e kon port use korse,1,0.0
4246,Redmi 9,redmi 9 er sensor gula to valo,1,1.0
994,Realme 8,realme 8 er standby time to onek,1,1.0
811,iPhone 12,iphone 12 e Portrait mode with advanced bokeh and Depth Control ase,1,0.0
2216,Realme X2,realme x2 er color gula valoi,1,0.0
5007,Redmi 9,redmi 9 faltu call record buton missing,0,0.0
2118,Pixel 4,price wise Pixel 4 best?1,0,
4029,Mi Note 10,redmi note 10 mate used hove ?,1,0.0
598,Realme X2,realme X2 cn ( 8/256 ) apnader kache theke kinechilam ..,1,1.0
3509,iPhone 11,iphone 11 er batter backup valoi,1,0.0
2750,Palm,"Alhamdullah palm komtese , , 10k t neme asle kine felbo find phab Allah",1,1.0
2790,Realme X2,realme x2 er features o valo sob,1,0.0
2709,iPhone 12,iphone 12 bst,1,1.0
4168,POCO X3,poco x3 phone ektu por por lag kore,0,0.0
3021,Pixel 4,Pixel 4 one kbeshi joss,1,1.0
4939,Realme 8,netflix stuck hoye jay realme 8 e?0,1,
1328,iPhone 12,iphone 12 official ta koi pabo,1,0.0
1528,Realme 8,dst ami realme 8 kinsi tui o kin,1,1.0
2364,Poco x3,ai price e poco x3 neai best option,1,1.0
2639,OnePlus 8T,oneplus 8t 8-128 price ?,1,1.0
3800,Pixel 4,Pixel 4 e ki front e Portrait mode ase,1,0.0
4011,Mi Note,redmi note 8 oppo price ? ? ?,1,1.0
1670,Mi Note 10,redmi note 10 international hobe ?,1,1.0
4356,Redmi 9,valo valo review ase redmi 9 er,1,1.0
3268,Mi 11 Lite,Mi 11 lite eta ki 4g nova 5g ? ?,1,0.0
3549,Redmi 9,redmi 9 er mp3 onek valo,1,0.0
803,iPhone 12,"4K video recording at 24 fps, 25 fps, 30 fps, or 60 fps kora jay iphone 12 die",1,1.0
2365,iPhone 12,Fingerprint-resistant oleophobic coating dise iphone 12 e,1,0.0
2747,Realme 5i,realme 5i nen vai best?1,0,
1355,Poco x3,earphone er sound quality poco x3 er valo,1,1.0
2866,Poco x3,poco x3 use kre valo vibe pacchi,1,0.0
4004,iPhone SE 2,iphone SE 2020 available ?,1,0.0
3440,Realme 8,sunsi je realme 8 naki smule user der jnen best,1,0.0
2780,Realme 8,realme 8 r kno kotha hbe na,1,0.0
181,iPhone 12,Apple isn't offering any color calibration options with the iPhone 12,0,0.0
953,Poco x3,tk nosto korte na cahile poco x3 nen,1,0.0
5069,iPhone 11,fingerprint sensor ase iphone 11 e,1,1.0
943,OnePlus 8,pura orginal color change kore dey oneplus 8,0,1.0
4690,Poco x3,redmi er theke poco x3 fast charging,1,1.0
3761,Poco x3,best chipset poco x3 er ei budget e,1,1.0
2040,OnePlus 8,keu oneplus 8 nien na pocah phone,0,1.0
1705,Realme X2,battery to valoi realme x2 er,1,0.0
1442,Realme 8,lagging cahra game khelar mto phone hoilo realme 8,1,0.0
2486,OnePlus 7,oneplus 7 ache ?,1,0.0
4328,Redmi 9,redmi 9 die one kpic tullam day light e valo pic ashche,1,1.0
1201,iPhone 12,best ekta phone hocche iphone 12,1,1.0
3289,OnePlus 8,oneplus 8 er sob kisui one kpoor,0,0.0
908,Pixel 4,Pixel 4 onek high configuration provide kore,1,0.0
3218,iPhone 12,True Tone flash with Slow Sync ase iphone 12 e,1,0.0
4823,Mi 11 Lite,mi 11 lite blackcolor mate ?,1,0.0
2767,OnePlus 8T,oneplus 8T à¦ªà§à¦°à¦¾à¦‡à¦¸ à¦•à¦¤ ? ?,1,1.0
4570,Galaxy A52,galaxy a52 er sathe 10w charger paisi,1,1.0
5032,Redmi 9,ha dost positive review dekhe redmi 9 kinlam,1,0.0
4750,Galaxy A52,galaxy a52 e Up to 2.0 GHz cpu ase,1,1.0
3306,Realme X2,realme x2 er gpu 950 MHz,1,1.0
688,OnePlus 8,oneplus 8 er waranty 2 years er,1,0.0
1601,iPhone 7,I iphone 7 plus mate,1,0.0
4295,OnePlus 8,oneplus 8 best phone in bangladesh,1,0.0
420,iPhone 7,Vai i iphone 7 plus vivo,1,1.0
2503,Realme 8,realme 8 e notification onk flawlessly ashe,1,1.0
2464,Pixel 4,Pixel 4 er batery valo to onek,1,1.0
3468,Mi 11 Lite,mi 11 lite price please,1,0.0
1102,Pixel 4,amar onek valo lagse Pixel 4,1,0.0
4041,Poco x3,poco x3 best battery,1,0.0
503,Pixel 4,2 ARM Cortex A75 + 6 ARM Cortex A55 ase Pixel 4 er cpu te onk valo,1,1.0
1151,OnePlus 8,carrier agregation does not work in oneplus 8,0,0.0
2257,Poco x3,poco x3 die selfie den keu,1,0.0
335,POCO X3,poco x3 oppo lagbe amr,1,1.0
4853,Realme 8,i love realme 8,1,0.0
4392,Realme 8,realme 8 e ja ja lagbe apnar sob e paben,1,1.0
1519,Poco x3,poco x3 er ram ta ki janale valo hoto,1,0.0
2903,Realme 8,realme 8 er graphics valo hobe?,1,1.0
4755,Redmi 9,redmi 9 er speaker valo,1,0.0
3075,Realme 8,realme 8 e pic edit korar jonne onk sundor sundor filter ase,1,1.0
342,Realme 8,genshin impact die game khealr jonne realme 8 shera,1,1.0
1074,Pixel 4,Pixel 4 e onek valo battery backup,1,0.0
286,Poco x3,Octa-core CPU ase poco x3 e,1,0.0
3046,iPhone 11,I iphone 11 128 GB single ( USA ) nai ?,1,1.0
1237,iPhone 12,Seven_element lens ase iphoen 12 e,1,0.0
1346,Poco x3,3 ta card slot chaile poco x3 nen,1,1.0
767,ChaCha,chacha,1,1.0
2901,POCO X3,poco x3 oppo budget find my choice is x3 oppo,1,0.0
127,Redmi 9,capabazi phone redmi 9,0,1.0
2714,POCO X3,poco x3 faltu call record buton missing,0,1.0
5011,Pixel 4,kno discounts hbe Pixel 4 er upor,1,1.0
3018,Realme X2,realme x2 er sathe 10w charger paisi,1,0.0
4181,Poco x3,8 gb ram ase poco x3 e?1,1,
121,OnePlus 8,oneplus 8 onek valo,1,1.0
566,Redmi 9,redmi 9 wrost phone,0,0.0
5213,Pixel 4,ha ase Pixel 4 e sob ase,1,1.0
139,Realme 8,realme 8 nsii chipset joss,1,0.0
162,Realme 8,pocha realme 8 phone ta,0,1.0
4595,Pixel 4,rasel amr ekta Pixel 4 lagbe,1,0.0
2735,POCO M2,poco m2 oppo available,1,1.0
1584,Poco x3,amiito deklam je ARM Mali-G76 gpu use krse poco x3 e,1,0.0
53,Realme 8,sobchey valo phone hocche realme 8,1,0.0
366,OnePlus 8,oneplus 8 e 2 Nano card slots + 1 Micro SD ase,1,1.0
1732,Redmi 9,19.5:9 aspect ratio redmi 9 display er,1,0.0
4110,Realme X2,valo ekta ram ase realme x2 e,1,0.0
4185,Realme 5i,3 ta card slot chaile realme 5i nen,1,1.0
675,iPhone 12,iphone 12 kinbo na headphone nai,0,0.0
1939,POCO X3,poco x3 nfc available ?,1,1.0
4208,Realme 8,eto valo lagse realme 8 use kore k ir blbo,1,1.0
2125,POCO X3,Vai poco x3 oppo 8/128 moto,1,0.0
3401,Pixel 4,camera kmn keu bolen Pixel 4 er,1,1.0
2043,Realme X2,tahole kalkei kino realme x2,1,0.0
3330,Pixel 4,valo ekta ram ase Pixel 4 e,1,0.0
3157,Realme 8,realme 8 sound onk joss,1,0.0
2708,Pixel 4,Pixel 4 er face unlock valoi fast,1,1.0
3720,Realme 8,realme 8 er selfie camera kmn,1,0.0
4225,iPhone 12,please keu amake ekta iphone 12 den,1,1.0
1746,Poco x3,AI Scene Recognition feature ase poco x3 e,1,0.0
3677,Mi Note 10,redmi note 10 line up ta Global varient ashbena ? ? ? eta moto mate Indian version,1,0.0
2618,Realme 8,realme 8 oppo আছে ?,1,1.0
657,iPhone 12,iphone 12 ekta overhyped phone,0,0.0
432,OnePlus 9,oneplus 9R,1,1.0
2572,Mi Note 10,"`` redmi note 10 4/64 17190/- Indian '' eitar warrenty , guarenty ?",1,1.0
4071,POCO X3,poco x3 er sensor pocha,0,1.0
3327,iPhone 7,iphone 7 plus prices piz,1,0.0
4010,Poco x3,poco x3 kinen ram valo,1,0.0
1188,Realme 5i,realme 5i ekta comfortable phone,1,0.0
4108,Realme 8,realme 8 e koyta card slot ase keu bolen,1,1.0
2288,Pixel 4,valo ekta cpu use krse Pixel 4 e,1,0.0
2013,Redmi 9,redmi 9 er Electronic compass valo,1,1.0
413,Realme 8,Vai realme 7pro & realme 8pro konta best ? ?,1,0.0
1137,Pixel 4,Pixel 4 e besh valo valo kisu sensor dise,1,1.0
4784,Realme 8,realme 8 er dispaly valo,1,1.0
4691,Redmi K40,redmi k40 ki asche ?,1,0.0
3576,iPhone 7,I iphone 7 + à¦†à¦›à§‡,1,1.0
4900,Mi Note 10,redmi note 10 + price,1,1.0
4059,Mi Note 10,Vai redmi note 10 ( IND ) er price komar wait kortesilam ... ulta baraya dilen dekhi,1,0.0
3605,iPhone 11,iphone 11 use korsi valo lage nai,0,1.0
4708,Redmi 9,selfie tolar jonen redmi 9 nite paren valoi,1,0.0
3027,Realme 8,medium to high graphics chaile realme 8 dekhen,1,0.0
3403,Realme X2,amnar kase realme x2 valoi lagse,1,0.0
3965,Realme 8,realme 8 smart,1,0.0
3034,Pixel 4,13 mp main camera hosse Pixel 4 er,1,1.0
2564,POCO X3,waste of money poco x3,0,1.0
1421,Pixel 4,4 ta camera ase bondhu Pixel 4 e?1,0,
2070,Redmi 9,best ekta phone hocche redmi 9,1,0.0
2595,Realme 5i,Timelapse kora jay realme 5i er camera die,1,1.0
4817,Realme 8,realme 8 er sound quality joss,1,1.0
5214,POCO F3,poco F3 kobe phab,1,1.0
4788,iPhone 12,iphone 12 e charge o thake onekkhn,1,1.0
3785,iPhone 7,iphone 7plus price moto,1,0.0
3466,iPhone 12,iphone 12 oppo 256gb moto porbe ?,1,1.0
593,Pixel 4,best falgship phone Pixel 4,1,1.0
2923,Redmi 9,ami redmi 9 kinbo na,0,0.0
3329,Pixel 4,Pixel 4 er kisu valo valo multimedia bolen,1,0.0
608,Pixel 4,Pixel 4 er purple senset color ta kobe available hbe,1,0.0
3222,POCO M2,vai poco m2 oppo er mate exchange kora jabe ki ?,1,1.0
3037,POCO X3,poco x3 die pubg khela jayna,0,0.0
4479,Realme 8,"realme 8 ,20000 hobe v",1,1.0
133,Realme 5i,realme 5i chara r kno valo phone pabenna ai price e,1,0.0
2384,Redmi 9,redmi 9 kinbo jeu diben,1,0.0
4865,Mi 11 Lite,8+128gb Mi note 10 oppo mate poco x2 oppo Mi 11 lite 3 ta iphone best flare Price 25 e asle akta chance nebo .,1,1.0
504,POCO X3,poco X3 oppo unofficial moto 6:128 gb,1,1.0
3672,OnePlus 8,low light photo was grainy and the detail was washed out in oneplus 8,0,1.0
4661,Pixel 4,5MP macro camera ase Pixel 4 e,1,1.0
164,Poco x3,poco x3 er ram kto gb?,1,1.0
1942,Poco x3,tmi jodi ei budget e val ographics chao taile poco x3 nao,1,1.0
597,OnePlus 8,vai oneplus 8 taratari stock koren,1,0.0
3082,Redmi 9,valo condition er redmi 9 sell krbo,1,1.0
4730,Pixel 4,10 W charger thake Pixel 4 er sathe,1,0.0
2181,Redmi 9,amar kase carbon grey color ta beshi valo lagse redmi 9 er,1,0.0
5195,Realme X2,realme x2 e valo pic tola jay,1,0.0
690,iPhone 11,bestgaming phone iphone 11,1,0.0
1438,Pixel 4,Pixel 4 er ram nia kisu bolen vai,1,1.0
2161,Mi Note 10,1month use korsi REDMI NOTE 10 4/64 indian global . Kine chilam 17K diye ... axon sell dile moto phab ?,1,0.0
4042,Poco x3,poco x3 er Proximity sensor ta valoi,1,0.0
2457,Realme 8,realme 8 pocah,0,0.0
2873,Galaxy A52,LPDDR4X RAM use krse galaxy a52 e,1,0.0
4726,POCO X3,poco x3 oppo indian global nord international global ?,1,0.0
3445,Redmi 9,game er jonne do not buy redmi 9,0,1.0
4393,Realme X2,amr gf o onek posondo korse realme x2,1,1.0
2124,OnePlus 8,oneplus 8 e onk valo valo sensor ase,1,1.0
4050,Realme 8,khubi baje pic asherealme 8 die,0,1.0
2192,Redmi 9,redmi 9 display aspect ratio kto,1,1.0
1515,Galaxy A52,galaxy a52 display aspect ratio kto,1,0.0
4861,Pixel 4,Pixel 4 e 3 ta color available ase,1,0.0
81,POCO M3,Vai poco m3,1,1.0
669,Poco x3,amoled scrren ase poco x3 er eijnne nisi,1,1.0
670,Realme 5i,all roiun der phone hocce realme 5i,1,1.0
49,Redmi K40,redmi k40 8-128 variant available ?,1,1.0
4521,Galaxy A51,galaxy A51,1,1.0
3702,Poco x3,poco x3 perfect,1,0.0
21,POCO X3,"poco x3 oppo 8/128 , 26k vibe vibe ?",1,0.0
3313,Realme 8,ajke ekta realme 8 nai bole pubg khelte parina,1,1.0
2033,Redmi 9,redmi 9 er onek positive reviw dksi,1,0.0
2687,Galaxy A52,galaxy a52 er cpu to onek valo,1,1.0
2437,Realme 8,realme 8 eto valo r comfortable,1,1.0
3598,iPhone 11,game khelar somoy iphone 11 lag deyna,1,0.0
3369,Poco x3,ekhone poco x3 er hype beshi,1,0.0
1399,Mi Note 10,redmi note 10 Pro ( International ) global version হবে ? ?,1,1.0
3733,Realme 8,realme 8 NFC support kore naki?,1,1.0
1751,POCO X3,game er jonne do not buy poco x3,0,1.0
2163,iPhone 11,iphone 11 ram onek fast,1,0.0
3402,Realme 8,realme 8 nen vai best?1,1,
2223,iPhone 11,tk jomacchi ekta iphone 11 kinbo,1,0.0
4002,POCO F3,xiaomi poco F3,1,0.0
2099,Poco x3,poco x3 er sound quality joss,1,1.0
3933,iPhone X,iphone x 64gb price ?,1,0.0
3187,Poco x3,wild rift khealr jonne nile poco x3 nen,1,0.0
4897,Pixel 4,Macro mode available ase Pixel 4 e,1,1.0
1659,Realme C21,realme c21 ১৩ এপ্রিল এ কিনছি। এটা এক্সচেঞ্জ করা যাবে কি ?,1,1.0
2622,Redmi 9,ami redmi 9 use krsi multimedia to onk valo,1,1.0
5005,Mi Note 10,Unofficially redmi note 10 4/64 price ekhon moto,1,1.0
797,POCO X3,new update ashar por poco x3 ugly hoise,0,0.0
3220,Galaxy S8,samsung galaxy s8 available ?,1,0.0
1596,Redmi 9,redmi 9 er batery valo to onek,1,0.0
1308,Realme X2,realme x2 er camera kmn keu janan,1,0.0
243,Realme 8,realme 8 e 8GB LPDDR4X ram ase sunlam,1,1.0
3697,iPhone 12,"Cinematic video stabilization (4K, 1080p, and 720p) kora jay iphone 12 die",1,0.0
3621,Pixel 4,khub sundor selfie tola jay Pixel 4 die,1,1.0
1410,Poco x3,"15 GB porjnto barano jay ram poco x3 e, valo phone",1,0.0
3316,Poco x3,keu amke ekta poco x3 den kisudin er jonne?1,0,
1500,Poco x3,sobkichu milay poco x3 valo ekta phone,1,0.0
388,Realme 8,realme 8 e dual band wifi ase,1,1.0
2770,Mi Note 10,Vai apnader kase ki redmi note 10pro mate available ? ?,1,0.0
4809,POCO X3,valovabe pubg khelte chaile poco x3 nien na,0,1.0
1906,Realme 8,Dynamic Bokeh option ase realme 8 er cameray,1,1.0
1653,Galaxy A52,amar kase galaxy a52 ase niben,1,1.0
3556,Galaxy A52,galaxy a52 e charge valoi thake,1,0.0
3691,Realme 8,HDR ase realme 8 er cameray,1,1.0
5031,iPhone 11,"iphone 11 die pubg, cod sob khelte parben",1,0.0
4473,Redmi 9,redmi 9 er cpu hocche 12 nm FinFET,1,0.0
4764,Realme X2,realme x2 koi paoa jabe,1,0.0
832,Redmi 9,ekta sundor vab ase redmi 9 er carbon grey color e,1,0.0
1533,Mi 11 Lite,Mi 11 lite ki 5g ?,1,0.0
4330,Redmi 9,duita sim use kri tai redmi 9 nisi,1,1.0
2063,iPhone 12,iPhone 12 isn't Apple's most premium model,0,1.0
4876,Poco x3,valo display r battery backup cahile poco x3 nen,1,0.0
1271,Mi Note 10,redmi note 10 4/64 international ?,1,0.0
2309,Realme 8,sobcheye valo phone ekhn realme 8,1,1.0
3153,Redmi 9,redmi 9 reular use er jonne valo,1,0.0
1912,Redmi 9,overall onk valo lagse redmi 9,1,0.0
4232,Galaxy A02,Hi galaxy A02 mate ?,1,1.0
1452,POCO X3,poco x3 e call record option nai pocha phone,0,1.0
2796,iPhone 12,gpu kimn iphone 12 er,1,1.0
1484,Mi Note 10,28k diye official redmi note 10 Pro ( 108mp ) pawa jasse r ei dike 26k+ unofficial .....,1,1.0
2511,Realme 5i,rest or west realme 5i best,1,1.0
848,Redmi K40,Waiting nord redmi k40 6/128,1,0.0
1752,Pixel 4,charger paben Pixel 4 er sathe,1,1.0
620,Realme X2,keu realme x2 use krsen,1,1.0
1856,iPhone 12,camera ager mtoi ase iphone 12 er,0,1.0
2819,Redmi 9,redmi 9 er 5020 battery dekhe kinsi,1,0.0
105,iPhone 12,Vhi amr iphone 12 lgbo,1,1.0
4364,Redmi 9,motamoti sob feature e use krlam valoi lase redmi 9,1,1.0
2568,Realme 8,Vai realme 7pro VS realme 8pro konta best ? ?,1,1.0
4950,Realme X2,realme x2 er camera details bolen,1,0.0
1418,POCO X3,poco x3 pocah phone,0,1.0
2823,Poco x3,poco x3 die arame game kheli graphics shei,1,0.0
1647,Redmi 9,ami kalke ekta redmi 9 kinlam,1,1.0
4639,OnePlus 8,Vai oneplus 8 international global nokia indian,1,1.0
3415,Galaxy A52,amar ager phoen er cheye galaxy a52 beshi valo lagse,1,1.0
4372,iPhone 11,iphone 11 ekta overhyped phone,0,1.0
1666,Mi Note 10,redmi redmi note 10pro mate ... global version ta ki available ... ?,1,0.0
2877,Realme 8,keu amke ekta realme 8 den kisudin er jonne?1,0,
1213,Poco x3,amar duita sim cahlan lage tai poco x3 nisi,1,0.0
2623,Realme 8,game khelar somoy reboot ney 14 bar realme 8,0,1.0
757,OnePlus 8,oneplus 8 er port ta onek updated USB Type-C,1,1.0
2328,POCO F3,poco f3 oppo ber honor chances ache ?,1,1.0
960,iPhone XS,iphone Xs mate 256gb price ? & xs mate 64gb price ? ? ?,1,0.0
2650,OnePlus 8,navic mention koa nai oneplus 8 e,0,0.0
2248,Pixel 4,mp4 ase Pixel 4 e,1,1.0
2817,Realme 8,realme 8 er cpu nia keu janan vai,1,1.0
444,Redmi 9,Bluetooth 5.0 redmi 9 e available ase,1,1.0
234,Poco x3,na vai fingerprint sensor e kno fault nai poco x3 er,1,1.0
996,POCO X3,poco x3 ki available ?,1,1.0
3296,Realme 8,dame kom mane valo realme 8,1,1.0
779,iPhone 12,iphone 12 er sudu camera valo r kisu valo na,0,0.0
535,Realme 8,realme 8 er r kno color hbe,1,0.0
324,Galaxy A52,galaxy a52 er gpu valo cause Mali-G52 MC2 use krse,1,1.0
4049,Realme 8,realme 8 er unboxing dekhan?1,0,
2516,Poco x3,poco x3 er sath ekta type c cable paisi,1,0.0
1531,Galaxy A52,galaxy a52 er color tao khub sundor,1,1.0
1911,Realme 2,R sylhet er shoeroom ee ki phab realme 2 oppo,1,0.0
4223,Realme 8,na vai redmi er cheye realme 8 er battery backup beshi,1,0.0
4155,Redmi 9,sensor thikmt okaj kore na redmi 9 er,0,1.0
2667,OnePlus 8,oneplus 8 e kono plain back nai,0,0.0
933,OnePlus 8,oneplus 8 nen vai best?1,0,
2617,iPhone X,iphone x available ? ?,1,0.0
3060,Mi 11 Lite,Mi 11 lite 5g maven,1,1.0
4493,Poco x3,"With Android 11 and the 8GB RAM, the Helio G95 will work efficiently especially in the area of offering gaming support in poco x3",1,0.0
671,Realme 8,realme 8 eto valo kn,1,0.0
629,Poco x3,octa core CPU use krse realmne 8 e deklam,1,1.0
4052,Pixel 4,aac ase Pixel 4 e,1,0.0
3305,Realme X,vai realme X,1,1.0
4462,Mi Note 10,redmi note 10 4/64 price moto Mirpur 10 barnch e,1,0.0
4875,Realme 8,realme 8 er selfei cameray sunsi 5p lens dise,1,1.0
3418,Mi Note 10,redmi note 10 oppo official kobe ashte flare stock e vai . ?,1,1.0
3964,Realme 8,realme 8 kine keu tk nsto korben na,0,1.0
676,Realme 5i,realme 5i er Acceleration sensor ta valoi kaj kore,1,1.0
507,Pixel 4,validity chek krsen Pixel 4 er,1,1.0
2283,iPhone 12,Having a flat frame on the iPhone 12 is a wish come true,1,0.0
2465,Poco x3,sound quality valoi poco x3 er,1,1.0
3911,Mi 11 Lite,Mi 11 lite price ?,1,0.0
870,POCO X3,poco x3 oppo indian nokia international ?,1,0.0
4000,Realme X2,Bhai realme X2pro ta ki ache ? 8/128 ... ?,1,0.0
3424,Mi Note 10,redmi note 10 oppo er prosser konta vai .. ? 732 নাকি ৬৭০ ?,1,1.0
2834,Mi Note 10,redmi note 10 oppo 6/128,1,0.0
4435,Galaxy A52,galaxy a52 er baki sb features o valo,1,1.0
3601,POCO X3,poco x3 oppo,1,1.0
804,Realme 8,na vai realme 8 e oi problem nai notification onk smotth ashe,1,0.0
4999,OnePlus 8,oneplus 8 best battery,1,0.0
2589,Redmi 9,potrait mode er jonen redmi 9 valo,1,1.0
2937,Realme 8,keu realme 8 chalaile review den,1,0.0
154,Realme 8,brithness e prob kore realme 8,0,0.0
1895,Mi 11 Lite,Mi 11 lite available ?,1,0.0
1811,Pixel 4,Pixel 4 e 63 ta card slot paben,1,1.0
2300,Galaxy A52,ha dost positive review dekhe galaxy a52 kinlam,1,0.0
3303,iPhone 11,rate valo pic tola jayna iphone 11 die,0,1.0
201,Realme X2,realme x2 er onek positive reviw dksi,1,1.0
5086,Poco x3,poco x3 shera?1,1,
3099,iPhone 12,sob features paben iphone 12 e,1,0.0
2934,iPhone 11,iphone 11 er ram komdamer moddhe best,1,0.0
