,model,comment,sentiment,sex
46,Realme 5,Realme 5pro আনুমানিক কত দিন used হয়েছে??,,
47,Realme 5,Realme 5i available kemne??,,
48,Narzo,Realme narzo 20 box dabe na. Copy na ki,,
49,Narzo,narzo 30 price??,,
50,Realme C1,I need realme c17 if available let me knw..thnx,,
51,Narzo,Narzo 20 ace...?,,
52,Realme C1,Realme c12 lagbe amr ekta,,
53,iPhone 11,Iphone 11 128 gb price???,,
54,One X+,I phone x 256 gb price?,,
55,One X+,iphone xs 64GB price,,
56,One X+,Iphone xr price range...!,,
57,One X+,I phone xs max 256 gb gold color price?,,
58,One X+,Apple i phone x  er Price koto,,
59,One X+,Iphone x 64 silver price koto?,,
60,One X+,IPhone x available?,,
61,One X+,i phone x 64gb ar price koto ??/,,
62,One X+,IPhone XR er price?,,
63,One X+,Iphone xs gold 256 gb koto ?,,
64,One X+,Iphone x,,
65,One X+,IPhone x black 128 gb price,,
66,One X+,IPhone X(256gb) price???,,
67,iPhone 7 Plus,bhai iphone 7 plus,,
68,One X+,iphone Xs max 256gb price? & xs max 64gb price???,,
69,One X+,iphone x 64gb price?,,
70,One X+,iphone Xr 128 gb price??,,
71,One X+,iphone X  and XR 64gb price?,,
72,iPhone 8,iphone 8 plus price?,,
73,One X+,iphone X max Price,,
74,iPhone 6s Plus,iphone 6s plus koto,,
75,iPhone 11,iphone 11 128 gb price,,
76,One X+,iphone X max 256gold price,,
77,iPhone 6s,iphone 6s price,,
78,One X+,iphone XR 256gb black price pls,,
79,One X+,iphone X 64gb,,
80,One X+,Apple iphone xr price,,
81,One X+,vai iphone xr er price koto,,
82,One X+,iphone X price???,,
83,One X+,Vaiya iphone x -64 gb er price ta koto,,
84,One X+,iphone X 256 GB price ?,,
85,One X+,iphone Xs max 256,,
86,One X+,iphone X er dam koto,,
87,iPhone 7 Plus,iphone 7 plus 128 GB Price ?,,
88,One X+,iphone xr 64gb price?,,
89,iPhone 7,iphone 7 asa?,,
90,iPhone 6s Plus,iphone 6s plus?,,
91,One X+,iphone xr 64 price....??,,
92,iPhone 8,iphone 8 plus 64gb price?,,
93,One X+,iphone XR 64 gb price?,,
94,OnePlus 9,Oneplus 9  এটা আমি কিনবো01799177349,,
95,Note 8,Vy amr redmi note 8 lagbe,,
96,Note 8,Amar  redmi note 8 lagbe,,
97,Note 8,Redmi note 8 নেব মোবাঃ ০১৮৭২৯০৯৪৫১,,
98,Note 8,Radmi note 8 coll me 01924456080,,
99,iPhone 11,iPhone 11 pro লাগবে 01762403190,,
100,iPhone 11,"IPhone 11 Pro lagbe, call me anytime 01317176262",,
101,Note 8,Redmi note 8 লাগবে,,
102,Note 9,Redmi note 9ar price 3099tk na ki,,
103,Note 9,Redmi Note 9 lagba hmoe delivery charge koto,,
104,Mi Note,Vaia amar redmi note8lagbe,,
105,Note 9,Redmi note 9 amar dorkar,,
106,Note 8,vai Redmi note 8 ami nite chai ki vabe  odar korbo   plz call me 0181488614,,
107,Redmi 8,redmi 8 lagbo amar,,
108,Note 9,Amar Redmi note 9 lagbe,,
109,Note 8,Redmi Note 8 কিনবে,,
110,Note 9,Amar redmi note 9 lagbe,,
111,iPhone 11,amar iphone 11 pro lagve plz call me 01754888159,,
112,Note 8,Redmi note 8 nebo 01314797849,,
113,Note 9,vaiya ami redmi note 9 nibo..01885742077 please call me,,
114,Note 9,Amar redmi note 9 lagbe ok,,
115,iPhone 11,iphone 11 pro nite chai,,
116,Mi Note,Vai Amar readmi note 11 ultra lagbe koto dam,,
117,Galaxy S1,Vai amak galaxy s10 lagbe kivabe  nibo,,
118,Note 8,redmi note 8 ta lagbe??,,
119,iPhone 11,iphone 11 lagbe bhaiya ami kibabe nibo please call me 01772768783,,
120,iPhone 11,iphone 11 pro koto hole kena jabe,,
121,Vivo V1,vivo V15 মুবাইল ফুন লাগবে,,
122,OnePlus 9,ami oneplus 9 nibo,,
123,Mi Note,Redmi Note এটা আমার লাগবে,,
124,iPhone 12,Vhi amr IPhone 12 lgbo,,
125,Vivo V1,vivo v17 amer lagbe ki ba nibo cool me,,
126,Note 9,"Redmi Note 9 1,500Tk",,
127,Note 8,Vi amar redmi note 8 lagbe kivave ki korbo,,
128,Note 9,redmi note 9 lagbe,,
129,Note 8,Redmi note 8নিমু,,
130,2 Pro,iphone 12 pro ase,,
